HHID;CASEID;V801;V802;V803;V804;V805;V806;V811;V812;V813;V814;V815A;V815B;V815C
     171  69;     171  69 03; 938;1005;27;1;  401;  ;0;0;0;0;0;0;0
     171  72;     171  72 02;1505;1505;96;4;  401;  ;0;0;0;0;0;0;0
     171  76;     171  76 03;1123;1044;96;3;  401;  ;0;0;0;0;0;0;0
     171  83;     171  83 02;1708;1720;12;1;  401;  ;0;0;0;0;0;0;0
     171  87;     171  87 03;1202;1233;31;1;  401;  ;0;0;0;0;0;0;0
     172   2;     172   2 01;1317;1347;30;1;  402;  ;0;0;0;0;0;0;0
     172   5;     172   5 02;1146;1231;45;1;  401;  ;0;0;0;0;0;0;0
     172   8;     172   8 02;1218;1255;37;1;  402;  ;0;0;0;2;0;0;0
     172  19;     172  19 01;1447;1520;33;1;  402;  ;0;0;0;0;0;0;0
     172  21;     172  21 02;1542;1631;49;1;  403;  ;0;0;0;0;0;0;0
     172  21;     172  21 04;1557;1618;21;1;  402;  ;0;0;0;0;0;0;0
     172  21;     172  21 06;1605;1648;43;1;  401;  ;0;0;0;0;0;0;0
     172  35;     172  35 02; 939;1013;96;2;  402;  ;0;0;0;0;0;0;0
     172  37;     172  37 02; 926;1021;55;1;  401;  ;0;0;0;0;0;0;0
     172  40;     172  40 02;1029;1047;96;2;  403;  ;0;0;0;0;0;0;0
     172  43;     172  43 02; 837; 852;96;2;  403;  ;0;0;0;0;0;0;0
     172  45;     172  45 01;1328;1418;96;4;  401;  ;0;0;0;0;0;0;0
     172  56;     172  56 02;1510;1547;96;2;  403;  ;0;0;0;0;0;0;0
     172  62;     172  62 07; 930;1041;71;1;  401;  ;0;0;0;0;0;0;0
     172  64;     172  64 02;1621;1705;44;1;  401;  ;0;0;0;0;0;0;0
     172  70;     172  70 02; 827; 912;45;1;  403;  ;0;0;0;0;0;0;0
     173  24;     173  24 02;1622;1701;39;1;  401;  ;0;0;0;0;0;0;0
     173  40;     173  40 02;1130;1253;83;1;  401;  ;0;0;0;0;0;0;0
     173  40;     173  40 05;1404;1426;96;2;  401;  ;0;0;0;0;0;0;0
     173  56;     173  56 03;1201;1213;96;2;  401;  ;0;0;0;0;0;0;0
     173  64;     173  64 02;1247;1303;16;1;  403;  ;0;0;0;0;0;0;0
     173  81;     173  81 02;1403;1518;75;1;  401;  ;0;0;0;0;0;0;0
     173 105;     173 105 03;1538;1556;96;3;  403;  ;0;0;0;0;0;0;0
     173 105;     173 105 04;1558;1601;96;2;  403;  ;0;0;0;0;0;0;0
     173 113;     173 113 02;1151;1234;43;1;  403;  ;0;0;0;0;0;0;0
     173 122;     173 122 02;1410;1427;17;1;  403;  ;0;0;0;0;0;0;0
     173 130;     173 130 02;1512;1536;24;1;  403;  ;0;0;0;0;0;0;0
     173 138;     173 138 02;1022;1055;33;1;  403;  ;0;0;0;0;0;0;0
     173 146;     173 146 01;1629;1704;35;1;  403;  ;0;0;0;0;0;0;0
     173 162;     173 162 02;1316;1358;96;3;  402;  ;0;0;0;0;0;0;0
     173 170;     173 170 03;1624;1645;21;1;  401;  ;0;0;0;0;0;0;0
     173 179;     173 179 02;1049;1111;22;1;  402;  ;0;0;0;0;0;0;0
     173 179;     173 179 06;1124;1145;21;1;  402;  ;0;0;0;0;0;0;0
     173 195;     173 195 02;1517;1547;96;3;  402;  ;0;0;0;0;0;0;0
     173 211;     173 211 02;1714;1739;25;1;  402;  ;0;0;0;0;0;0;0
     174  12;     174  12 02; 704; 739;96;2;  405;  ;0;0;0;0;0;0;0
     174  29;     174  29 02;1145;1207;22;1;  405;  ;0;0;0;0;0;0;0
     174  33;     174  33 02;1116;1302;95;1;  406;  ;0;0;0;0;0;0;0
     174  37;     174  37 04;1455;1519;96;2;  405;  ;0;0;0;0;0;0;0
     174  41;     174  41 02;1041;1103;22;1;  403;  ;0;0;0;0;0;0;0
     174  50;     174  50 02; 818; 850;32;1;  406;  ;0;0;0;0;0;0;0
     174  50;     174  50 03; 917; 946;29;1;  406;  ;0;0;0;0;0;0;0
     174  54;     174  54 02; 925; 941;96;2;  403;  ;0;0;0;0;0;0;0
     174  80;     174  80 02;1134;1154;20;1;  403;  ;0;0;0;0;0;0;0
     174  84;     174  84 02; 814; 839;25;1;  403;  ;0;0;0;0;0;0;0
     174  88;     174  88 02;1108;1139;31;1;  405;  ;0;0;0;0;0;0;0
     175   9;     175   9 02;1409;1421;12;1;  403;  ;0;0;0;0;0;0;0
     175   9;     175   9 03;1520;1532;12;1;  401;  ;0;0;0;0;0;0;0
     175  25;     175  25 02;1804; 745;97;1;  401;  ;0;0;0;0;0;0;0
     175  41;     175  41 01;1051;1115;24;1;  403;  ;0;0;0;0;0;0;0
     175  57;     175  57 01;1829;1958;89;1;  401;  ;0;0;0;0;0;0;0
     175  88;     175  88 02;1421;1421;96;3;  401;  ;0;0;0;0;0;0;0
     175 104;     175 104 02;1556;1624;28;1;  401;  ;0;0;0;0;0;0;0
