MCASEID;MMTH1;MMTH2;MMTH3;MMTH4;MMTH5;MMTH6;MMTH7;MMTH8;MMTH9;MMTH10;MMTH11;MMTH12;MMTH13;MMTH14;MMTH15;MMTH16;MMTH17;MMTH18A;MMTH18B;MMTH18C;MMTH18D;MMTH18E;MMTH18F;MMTH18G;MMTH18H;MMTH18I;MMTH18J;MMTH18K;MMTH18L;MMTH18M;MMTH18N;MMTH18O;MMTH18P;MMTH18X;MMTH19;MMTH20;MMTH21;MMTH22;MMTH23;MMTH24
      12  97  7;0;0;2;0;1;1;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;1;1;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 4
      12  97  8;0;0;3;0;1;1;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;1;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 5
      13  20  1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 5
      13  20  4;2;0;1;1;1;0;0;1;2;0;2;0;2;0;0;0;1;0;0;0;0;0;1;1;0;0; ; ; ; ; ; ; ;0;0;0;0; 7;2; 5
      13  20  7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 1
      13  27  1;0;0;3;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 5
      13  34  1;2;0;1;0;0;2;0;2;3;2;1;1;3;1;0;0;1;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ;0;0;0;0;13;1; 5
      13  55  1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 2
      13  63  1;1;0;1;0;1;1;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 8;2; 4
      13  63  2;0;0;1;2;1;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;1;0; ; ; ; ; ; ; ;0;0;0;0; 3;2; 4
      13  70  1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 0;2; 3
      13  84  1;1;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;1;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 4;2; 2
      13  91  3;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 1
      13  91  4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ;0;0;0;0; 2;2; 2
      14   7  3;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0; ; ; ; ; ; ; ;0;0;0;0; 1;2; 2
